journal,rank
@grh,2
4OR: A Quarterly Journal of Operations Research,2
"Abacus: A Journal of Accounting, Finance and Business Studies",3
Academia Revista Latinoamericana de Administracion,1
Academy of Management Annals,5
Academy of Management Discoveries,3
Academy of Management Journal,5
Academy of Management Learning and Education,5
Academy of Management Perspectives,4
Academy of Management Review,5
Academy of Marketing Science Review,2
Accident Analysis and Prevention,3
Accounting and Business Research,3
Accounting and Finance,2
Accounting and the Public Interest,2
Accounting Education,2
Accounting Forum,3
Accounting Historians Journal,2
Accounting History,2
Accounting History Review,2
Accounting Horizons,3
Accounting In Europe,2
Accounting Research Journal,2
"Accounting, Auditing and Accountability Journal",3
"Accounting, Economics and Law - A Convivium",2
"Accounting, Finance and Governance Review",1
"Accounting, Organizations and Society",5
Accra (Audit Comptabilite Contr�le : Recherches Appliqu�es),1
ACM Transactions on Computer-Human Interaction,2
ACM Transactions on Modeling and Computer Simulation,3
Acta Commercii,1
Actes semiotiques,1
Action Learning,1
Action Research,1
Active Learning in Higher Education,1
Actual Problems of Economics,1
Administration and Society,2
Administrative Science Quarterly,5
Administrative Theory and Praxis,1
Advances In Accounting,2
Advances in Accounting Behavioral Research,2
Advances in Accounting Education: Teaching and Curriculum Innovations,1
Advances in Austrian Economics,1
Advances in Consumer Research,2
Advances in Developing Human Resources,2
Advances in Econometrics,2
Advances in Environmental Accounting and Management,1
Advances in Hospitality and Leisure,1
Advances in Industrial and Labor Relations,1
Advances in International Marketing,1
Advances in Management Accounting,2
Advances in Public Interest Accounting,1
Advances In Strategic Management,2
Advances in Taxation,2
Africa Journal of Management,2
African Affairs,3
African Evaluation Journal,1
African Finance Journal,1
African Journal of Accounting Auditing and Finance (AJAAF),1
Agrekon,1
Agricultural and Resource Economics Review,1
Agricultural Economics,2
Agricultural Finance Review,1
AIS Transactions on Human-Computer Interaction,2
American Behavioral Scientist,1
American Economic Journal: Applied Economics,4
American Economic Journal: Economic Policy,4
American Economic Journal: Macroeconomics,4
American Economic Journal: Microeconomics,3
American Economic Review,5
American Economic Review: Insights,3
American Journal of Agricultural Economics,3
American Journal of Business,1
American Journal of Economics and Sociology,2
American Journal of Managed Care,1
American Journal of Medical Quality,1
American Journal of Psychology,1
American Journal of Sociology,5
American Law and Economics Review,2
American Review of Public Administration,3
American Sociological Review,5
Anatolia: An International Journal of Tourism and Hospitality Research,1
Annals of Actuarial Science,1
Annals of Applied Statistics,2
Annals of Economics and Finance,2
Annals of Economics and Statistics,1
Annals of Finance,2
Annals of Leisure Research,2
Annals of Operations Research,3
Annals of Public and Cooperative Economics,2
Annals of Regional Science,2
Annals of Statistics,5
Annals of Tourism Research,4
Annals of Work Exposures and Health,1
Annual Review of Economics,3
Annual Review of Financial Economics,3
Annual Review of Information Science and Technology,2
Annual Review of Organizational Psychology and Organizational Behavior,1
Annual Review of Psychology,4
Annual Review of Resource Economics,2
Annual Review of Sociology,5
Antipode,3
Applied Cognitive Psychology,2
Applied Economic Perspectives and Policy,2
Applied Economics,2
Applied Economics Letters,1
Applied Ergonomics,3
Applied Financial Economics,2
Applied Mathematical Finance,2
Applied Psychology,3
Applied Psychology Measurement,2
Applied Psychology: An International Review,3
Applied Psychology: Health and Well Being,2
Area,1
Argumentation et analyse du discours ,1
Asia Europe Journal,1
Asia Pacific Business Review,2
Asia Pacific Journal of Human Resources,2
Asia Pacific Journal of Management,3
Asia Pacific Journal of Marketing and Logistics,1
Asia Pacific Journal of Tourism Research,1
Asian Business and Management,2
Asian Economic Journal,1
Asian Economic Papers,1
Asian Journal of Management Cases,1
Asian Journal of Technology Innovation,1
Asian Review of Accounting,2
Asia-Pacific Financial Markets,2
Asia-Pacific Journal of Accounting and Economics,2
Asia-Pacific Journal of Business Administration,1
Asia-Pacific Journal of Operational Research,1
Aslib Journal of Information Management,1
ASTIN Bulletin: Journal of International Actuarial Association,2
ATA Journal of Legal Tax Research,1
Atlantic Economic Journal,1
"Auditing, A Journal of Practice and Theory",3
"Australasian Accounting, Business and Finance Journal",1
Australasian Journal of Information Systems,1
Australasian Marketing Journal,1
Australian Accounting Review,2
Australian Bulletin of Labour,1
Australian Economic History Review,2
Australian Economic Papers,1
Australian Economic Review,1
Australian Journal of Agricultural and Resource Economics,2
Australian Journal of Labour Economics,1
Australian Journal of Management,2
Australian Journal of Psychology,1
Australian Journal of Public Administration,2
Baltic Journal of Economics,1
Baltic Journal of Management,1
Bancaria The Journal of the Italian Banking Association,1
Bankers Markets and Investors,1
Bankhistorisches Archiv,1
Basic and Applied Social Psychology,1
Behavioral and Brain Sciences,4
Behavioral Research in Accounting,3
Behaviour and Information Technology,2
Behavioural Public Policy,1
Benchmarking: An International Journal,1
Biometrika,4
BMC Health Services Research,1
BMJ Quality and Safety (Original Research),3
British Accounting Review,3
British Actuarial Journal,1
British Educational Research Journal,3
British Food Journal,1
British Journal of Educational Technology,2
British Journal of Guidance and Counselling,2
British Journal of Health Care Management,1
British Journal of Industrial Relations,4
British Journal of Management,4
British Journal of Psychology,3
British Journal of Social Psychology,3
British Journal of Sociology,3
British Tax Review,3
Brookings Papers on Economic Activity,3
Building Research and Information,2
Built Environment Project and Asset Management,1
Bulletin of Economic Research,2
Bulletin of Indonesian Economic Studies,1
Bulletin of the World Health Organization,1
Business and Human Rights Journal,1
Business and Information Systems Engineering,2
Business and Politics,2
Business and Professional ethics,1
Business and Society,3
Business Economics,1
Business Ethics Quarterly,4
Business ethics: A European Review,2
Business History,4
Business History Review,4
Business Horizons,2
Business Perspectives and Research,1
Business Process Management Journal,2
Business Research Quarterly,2
Business Strategy and the Environment,3
Business Strategy Review,1
"Business, Peace and Sustainable Development",1
Cahiers du Nume?rique (Les) ,1
California Management Review,3
Cambridge Journal of Economics,3
"Cambridge Journal of Regions, Economy and Society",3
Canadian Journal of Administrative Sciences - Revue Canadienne des Sciences Administratives,2
Canadian Journal of Agricultural Economics,2
Canadian Journal of Behavioral Science - Revue Canadienne des Sciences du Comportement,1
Canadian Journal of Economics / Revue Canadienne d'Economique,3
Canadian Psychology - Psychologie Canadienne,1
Capital and Class,2
Career Development International,2
Career Development Quarterly,2
CASE Journal,1
Central European Journal of Operations Research,1
CESifo Economic Studies,2
China Agricultural Economic Review,1
China and World Economy,1
China Economic Journal,1
China Economic Review,2
China Finance Review International,1
China Journal of Accounting Research,2
China Journal of Accounting Studies,1
China Quarterly,2
Chinese Management Studies,1
Cities,2
Cliometrica,2
Coaching,1
Cogent Business and Management,1
Cogent Economics and Finance,1
Cognition,4
Cognition Technology and Work,2
Cognitive Research: Principles and Implications,2
Cognitive Science,3
Communication,2
Communication and Critical-Cultural Studies,2
Communication et Langages,3
Communication et Management,1
Communication et Organisation,2
Communication Monographs,4
Communication Research ,4
Communication Research and practice,2
Communication Theory,4
"Communication, Culture and Critique",2
Communications,1
Communications - European Journal of Communication Research,2
Communications of the ACM,2
Communications of the AIS,2
Communications of the ICISA,1
Communiquer. Revue de communication sociale et politique ,2
"Community, Work and Family",1
Comparative Economic Studies,1
Competition and Change,2
Competitiveness Review,1
ComptabilitAfA Controle  Audit ,3
Computational Economics,1
Computational Management Science,1
Computational Optimization and Applications,3
Computational Statistics,2
Computational Statistics and Data Analysis,3
Computer Journal,2
Computer Supported Cooperative Work,2
Computers and Industrial Engineering,2
Computers and Operations Research,3
Computers in Human Behavior,3
Computers in Industry,3
Concurrent Engineering: Research and Applications,1
Constitutional Political Economy,1
Construction Management and Economics,2
"Consumption, Markets and Culture",2
Contemporary Accounting Research,4
Contemporary Economic Policy,2
Continuum - Journal of Media and Cultural Studies,2
Contributions to Political Economy,2
Cornell Hospitality Quarterly,2
Corporate Communications: An International Journal,1
Corporate Governance: An International Review,3
Corporate Governance: The International Journal of Business in Society,2
Corporate Reputation Review,1
Corporate Social Responsibility and Environmental Management,2
Creativity and Innovation Management,2
Creativity Research Journal,2
Credit and Capital Markets (Kredit und Kapital),1
Critical Arts - South-North Cultural and Media Studies,1
Critical Finance Review,1
Critical Inquiry,2
Critical Perspectives on Accounting,3
Critical Perspectives on International Business,2
Critical Social Policy,2
Critical Studies in Media Communication,2
Cross Cultural and Strategic Management,2
Cultural Critique,2
Cultural Studies,2
Culture and Organization,2
Culture et MusAes,2
Curator: The museum Journal ,1
Current Directions in Psychological Science,4
Current Issues in Auditing,2
Current Issues In Tourism,2
Current Psychology,1
Current Sociology,2
Cybernetics and Systems,1
DAfAcisions Marketing,2
De Economist,1
Decision,2
Decision Analysis,1
Decision Sciences,3
Decision Sciences Journal of Innovative Education,1
Decision Support Systems,3
Decisions in Economics and Finance,1
Defence and Peace Economics,2
Development and Change,3
Differences - A Journal Of Feminist Cultural Studies,2
"Digital Policy, Regulation and Governance",1
Disability and Rehabilitation,2
Discourse and Communication,3
Discourse and Society,3
Discourse Studies,3
Discrete Applied Mathematics,2
Discrete Optimization,2
Distances et M�diations des Savoirs ,2
Distances et Savoirs,2
Dynamic Games and Applications,1
Eastern Economic Journal,1
Eastern European Economics,1
Ecological Economics,3
Econ Journal Watch,2
Econometric Reviews,3
Econometric Theory,4
Econometrica,5
Econometrics (MDPI),1
Econometrics Journal,3
Economic Analysis and Policy,1
Economic and Business Review,1
Economic and Industrial Democracy,3
Economic and Social Review,1
Economic Change and Restructuring,1
Economic Development and Cultural Change,3
Economic Geography,4
Economic History Review,4
Economic Inquiry,3
Economic Issues,1
Economic Journal,4
Economic Modelling,2
Economic Notes,1
Economic Policy,3
Economic Record,2
Economic Systems,2
Economic Systems Research,2
Economic Theory,3
Economic Theory Bulletin,2
Economica,3
Economics and Business Letters,1
Economics and Finance Research,1
Economics and Human Biology,2
Economics and Philosophy,2
Economics and Politics,2
Economics and Sociology,1
Economics Letters,3
Economics of Education Review,2
Economics of Energy and Environmental Policy,1
Economics of Governance,1
Economics of Innovation and New Technology,2
Economics of Transition,2
Economics of Transportation,1
Economies (MDPI),1
Economy and Society,3
EDPACS,1
Education and Training,1
Education Economics,1
Education for Information ,1
Educational Management Administration and Leadership,2
Ekonomia,1
Electoral Studies,3
Electronic Commerce Research,2
Electronic Commerce Research and Applications,2
Electronic Journal of e-Learning,1
Electronic Markets,2
Emerald Emerging Markets Case Studies,1
Emergence: Journal in Complexity Management,1
Emerging Markets Finance and Trade,2
Emerging Markets Review,2
Empirica,1
Empirical Economics,2
Employee Relations,2
Energy Economics,3
Energy Journal,3
Energy Policy,3
Engineering Optimization,2
"Engineering, Construction and Architectural Management",1
Enjeux de laInformation et de la Communication (Les),1
Enterprise and Society,3
Enterprise Information Systems,2
Entreprendre et Innover,1
Entrepreneurship and Regional development,3
Entrepreneurship Research Journal,2
Entrepreneurship: Theory and Practice,4
Entreprise et SociAfAtAfA,1
Entreprises et Histoire,2
Environment and Development Economics,2
Environment and Planning A: Economy and Space,3
Environment and Planning C: Politics and Space,3
Environment and Planning D: Society and Space,4
Environmental and Resource Economics,3
Environmental Communication - A Journal of Nature And Culture,2
Environmental Economics,1
Environmental Economics and Policy Studies,1
Environmental Management,2
Environmental Science and Policy,3
Environmental Science and Technology,3
Ephemera: Critical Dialogues on Organization,1
"Equality, Diversity and Inclusion: an International Journal",2
Ergonomics,3
e-Service Journal,1
ESSACHESS - Journal for Communication Studies ,1
Essays in Economic and Business History,2
Ethics and Information Technology,1
Ethnic and Racial Studies,1
Etudes de Communication,2
Eurasian Business Review,2
Eurasian Economic Review,1
Eurasian Geography and Economics,2
EuroMed Journal of Business,1
European Accounting Review,3
European Business Journal,1
European Business Review,2
European Economic Review,3
European Financial Management,3
European Journal of Communication,2
European Journal of Cultural Studies,2
European Journal of Economics and Economic Policy: Intervention,1
European Journal of English Studies,1
European Journal of Health Economics,2
European Journal of Industrial Engineering,2
European Journal of Industrial Relations,3
European Journal of Information Systems,4
European Journal of Innovation Management,1
European Journal of International Management,2
European Journal of Law and Economics,1
European Journal of Marketing,3
European Journal of Operational Research,4
European Journal of Political Economy,2
European Journal of Public Health,2
European Journal of Purchasing and Supply Management,1
European Journal of Social Psychology,3
European Journal of the History of Economic Thought,2
European Journal of Training and Development,1
European Journal of Women's Studies,2
European Journal of Work and Organizational Psychology,3
European Management Journal,2
European Management Review,3
European Planning Studies,2
European Psychologist,1
European Review of Agricultural Economics,3
European Review of Economic History,3
European Sociological Review,3
European Sport Management Quarterly,3
European Urban and Regional Studies,3
European Work and Organizational Psychology in practice,1
Europe-Asia Studies,2
Evaluation,2
Event Management,2
Evidence and Policy,2
Evidence-based HRM: A Global Forum for Empirical Scholarship,1
Evolutionary Computation,3
Experimental Economics,3
Expert Systems With Applications,2
Expert Systems: the Journal of Knowledge Engineering,2
Explorations in Economic History,3
Facilities,1
Family Business Review,3
Feminist Economics,2
Feminist Review,2
FIIB Business Review,1
Finance,3
Finance and Stochastics,3
Finance Controle Strategie,2
Finance Research Letters,2
Financial Accountability and Management,3
Financial Analysts Journal,3
Financial History Review,2
Financial Management,3
Financial Markets and Portfolio Management,2
"Financial Markets, Institutions and Instruments",3
Financial Review,3
Financial Services Review,1
Finanz Archiv,1
Fiscal Studies,2
Flexible Services and Manufacturing Journal,1
Food Policy,3
Foreign Trade Review,1
Foresight,1
Forum for Health Economics and Policy,1
Forum for Social Economics,1
Foundations and Trends in Accounting,3
Foundations and Trends in Econometrics,1
Foundations and Trends in Finance,2
"Foundations and Trends in Technology, Information and Operations Management",1
French Cultural Studies,1
Frontiers in Psychology,1
Futures,2
Fuzzy Optimization and Decision Making,3
Games (MDPI),1
Games and Culture,2
Games and Economic Behavior,3
Gedrag and Organisatie,1
Gender and Society,3
Gender in Management: An International Journal,1
"Gender, Work and Organization",3
Geneva Papers on Risk and Insurance: Issues and Practices,2
Geneva Risk and Insurance Review,2
"Genre en se?ries : cine?ma, te?le?vision, me?dias",1
Geoforum,2
Geographical Journal,1
Gerer et Comprendre,2
German Economic Review,2
Gestion 2000,2
Gestion et Management Public,3
Global Business and Economics Review,1
Global Business Review,1
Global Economic Review,1
Global Economy Journal,1
Global Environmental Change,3
Global Finance Journal,2
Global Journal of Flexible Systems Management,2
Global Networks,3
Global Strategy Journal,4
Governance,4
"Governance: An International Journal of Policy, Administration and Institutions",2
Government Information Quarterly,3
Group and Organization Management,3
Group decision and Negotiation,2
"Group Dynamics: Theory, Research and Practice",2
Group Processes and Intergroup Relations,2
Growth and Change,2
Harvard Business Review,3
Health Affairs,4
Health and Social Care in the Community,2
Health Care Management Review,2
Health Care Management Science,2
Health Communication,3
Health Economics,3
Health Information and Libraries Journal,2
Health Marketing Quarterly,1
Health Policy,3
Health Policy and Planning,1
Health Services Management Research,1
Health Services Research,3
Health Systems,2
Hermes,2
Higher Education,2
Higher Education Policy,2
Higher Education Quarterly,2
"Higher Education, Skills and Work-based Learning",1
Historical Studies in Industrial Relations,1
History of Political Economy,2
Hospitality and Society,2
Human Communication Research,3
Human Factors,3
Human Factors and Ergonomics in Manufacturing and Services Industries,1
Human Organization,2
Human Performance,3
Human Relations,4
Human Resource Development International,2
Human Resource Development Quarterly,2
Human Resource Development Review,2
Human Resource Management,4
Human Resource Management Journal,5
Human Resource Management Review,3
Human Resource Planning,1
Human-Computer Interaction,1
Identities - Global Studies in Culture and Power,1
IEEE Transactions on Cybernetics,3
IEEE Transactions on Engineering Management,3
IEEE Transactions on Evolutionary Computation,4
IEEE Transactions on Human-Machine Systems ,2
IEEE Transactions on Knowledge and Data Engineering,1
IEEE Transactions on Software Engineering,2
"IEEE Transactions on Systems, Man and Cybernetics: Systems",3
IIE Transactions,3
IIM Kozhikode Society and Management Review,2
IJDST. International Journal of Design Sciences and Technology ,2
ILR Review,3
IMA Journal of Management Mathematics,2
IMF Economic Review,3
Implementation Science,1
Industrial and Commercial Training,1
Industrial and Corporate Change,3
Industrial and Labor Relations Review,3
Industrial and Organizational Psychology-Perspectives on Science and Practice,2
Industrial Law Journal,3
Industrial Management and Data Systems,2
Industrial Marketing Management,3
Industrial Relations Journal,3
Industrial Relations: A Journal of Economy and Society,4
Industrielle Beziehungen. The German Journal of Industrial Relations,2
Industry and Higher Education,1
Industry and Innovation,3
INFOR: Information Systems and Operational Research,1
Information and Computer Security,1
Information and Management,3
Information and Organization,3
Information Communication and Society,3
Information Economics and Policy,2
Information Processing and Management,2
Information Research,1
Information Resources Management Journal,1
Information Society,3
Information Systems and e-Business Management,2
Information Systems Frontiers,3
Information Systems Journal,4
Information Systems Management,2
Information Systems Research,5
Information Technology and Management,1
Information Technology and People,3
Information Technology and Tourism,1
Information Technology for Development,2
INFORMS Journal on Computing,3
INFORMS Transactions on Education,2
Innovation: Organization and Management,2
Innovations - Revue d'Economie et de Management de l'Innovation/Journal of Innovation Economics and Management,3
Innovations in Education and Teaching International,2
Insurance: Mathematics and Economics,3
"Intelligent Systems in Accounting, Finance and Management",1
Interacting with Computers,2
Interaction Studies,1
Interdisciplinary Journal of Economics and Business Law,1
Intereconomics,1
Interfaces,2
Interfaces nume?riques ,1
International Advances in Economic Research,1
International Archives of Occupational and Environmental Health,2
International Business Review,3
International Economic Journal,1
International Economic Review,4
International Economics,1
International Entrepreneurship and Management Journal,1
International Game Theory Review,1
International Hospitality Review,1
International Journal for Educational and Vocational Change,1
International Journal For Quality In Health Care,1
International Journal of Accounting and Information Management,2
International Journal of Accounting Auditing and Performance Evaluation (IJAAPE),2
International Journal of Accounting Information Systems,2
International Journal of Advertising,2
International Journal of Agile Systems and Management,1
International Journal of Arts Management,1
International Journal of Auditing,2
International Journal of Bank Marketing,1
"International Journal of Banking, Accounting and Finance",2
International Journal of Business and Emerging Markets,1
International Journal of Business and Systems Research,1
International Journal of Business Competition and Growth,1
International Journal of Business Environment,1
International Journal of Business Excellence,1
International Journal of Business Governance and Ethics,2
International Journal of Business Information Systems,1
International Journal of Business Innovation and Research,1
International Journal of Business Performance and Supply Chain Modelling,1
International Journal of Business Performance Management,1
International Journal of Business Process Integration and Management,1
International Journal of Cases on Electronic Commerce,1
International Journal of Central Banking,3
International Journal of Communication,2
International Journal of Comparative Labour Law and Industrial Relations,1
International Journal of Computational Economics and Econometrics,1
International Journal of Computer Integrated Manufacturing,2
International Journal of Conflict Management,2
International Journal of Construction Management,1
International Journal of Consumer Studies,2
International Journal of Contemporary Hospitality Management,3
International Journal of Contemporary Management,1
International Journal of Critical Accounting,1
International Journal of Cross Cultural Management,1
"International Journal of Culture, Tourism and Hospitality Research",1
International Journal of Data Analysis Techniques and Strategies,1
International Journal of Development Issues,2
