journal,rank
Journal of Personality and Social Psychology,4
Journal of Personnel Psychology,2
Journal of Place Management and Development,2
Journal of Policy Analysis and Management,3
Journal of Policy Modeling,2
Journal of Policy Research in Tourism Leisure and Events,1
Journal of Political Economy,5
Journal of Popular Culture,1
Journal of Population Economics,3
Journal of Portfolio Management,3
Journal of Positive Psychology,1
Journal of Post-Keynesian Economics,2
Journal of Prediction Markets,1
Journal of Product and Brand Management,1
Journal of Product Innovation Management,4
Journal of Productivity Analysis,2
Journal of Professions and Organization,2
Journal of Property Investment and Finance,1
Journal of Psychology,1
Journal of Public Administration Research and Theory,4
Journal of Public Affairs,1
Journal of Public Affairs Education,1
"Journal of Public Budgeting, Accounting and Financial Management",2
Journal of Public Economic Theory,2
Journal of Public Economics,4
Journal of Public Policy and Marketing,3
Journal of Public Procurement,1
Journal of Public Relations Research,2
Journal of Purchasing and Supply Management,3
Journal of Quality Assurance in Hospitality and Tourism,1
Journal of Quality in Maintenance Engineering,1
Journal of Quality Technology,2
Journal of Real Estate Finance and Economics,3
Journal of Regional Science,3
Journal of Regulatory Economics,2
Journal of Rehabilitation,1
Journal of Relationship Marketing,1
Journal of Research in Interactive Marketing,1
Journal of Retailing,4
Journal of Retailing and Consumer Services,2
Journal of Revenue and Pricing Management,1
Journal of Risk,2
Journal of Risk and Insurance,3
Journal of Risk and Uncertainty,3
Journal of Risk Finance,1
Journal of Risk Model Validation,1
Journal of Risk Research,2
Journal of Rural Studies,3
Journal of Safety Research,2
Journal of Scheduling,2
Journal of School Psychology,3
Journal of Science and Technology Policy Management,1
Journal of Service Management,2
Journal of Service Research,4
Journal of Service Theory and Practice,1
Journal of Services Marketing,2
Journal of Simulation,1
Journal of Small Business and Enterprise Development,2
Journal of Small Business and Entrepreneurship,1
Journal of Small Business Management,3
Journal of Social Entrepreneurship,2
Journal of Social Marketing,1
Journal of Social Policy,3
Journal of Social Psychology,1
Journal of Sport and Tourism,1
Journal of Sport Management,2
Journal of Sports Economics,2
Journal of Statistical Planning and Inference,2
Journal of Strategic Contracting and Negotiation,1
Journal of Strategic Information Systems,4
Journal of Strategic Marketing,2
Journal of Strategy and Management,1
Journal of Studies in International Education,1
Journal of Supply Chain Management,4
Journal of Sustainable Finance and Investment,1
Journal of Sustainable Tourism,3
Journal of Systems and Information Technology,1
Journal of Systems and Software,2
Journal of Tax Administration,2
Journal of Technology Transfer,3
Journal of the Academy of Marketing Science,5
Journal of the American Society for Information Science and Technology (JASIST),3
Journal of the American Statistical Association,4
Journal of the American Taxation Association,3
Journal of the Asia-Pacific Economy,1
Journal of the Association for Information Systems,5
Journal of the Association of Environmental and Resource Economists,3
Journal of the Economic Science Association,1
Journal of the Economics of Ageing,2
Journal of the European Economic Association,4
Journal of the History of Economic Thought,2
Journal of the Japanese and International Economies,2
Journal of the Knowledge Economy,1
Journal of the Operational Research Society,3
Journal of the Royal Statistical Society Series A (Statistics in Society),3
Journal of the Royal Statistical Society Series B (Methodology),4
Journal of the Royal Statistical Society Series C (Applied Statistics),3
Journal of the Textile Institute,1
Journal of Theoretical and Applied Electronic Commerce Research,1
Journal of Time Series Analysis,3
Journal of Time Series Econometrics,2
Journal of Transnational Management,1
Journal of Transport Economics and Policy,2
Journal of Transport Geography,2
Journal of Transport History,2
Journal of Travel and Tourism Marketing,2
Journal of Travel and Tourism Research,1
Journal of Travel Research,4
Journal of Trust Research,1
Journal of Urban Economics,3
Journal of Vacation Marketing,1
Journal of Visual Culture,1
Journal of Vocational Behavior,4
Journal of Vocational Education and Training,1
Journal of Work-Applied Management,1
Journal of Workplace Learning,1
Journal of World Business,4
Journal of World Trade,2
Journalism and Mass Communication Quarterly,2
Journalism Studies,3
Judgment and Decision Making,3
Knowledge and Process Management,1
Knowledge Management Research and Practice,2
Knowledge Organization,2
Kybernetes,1
Kyklos,3
La Revue des Sciences de Gestion,1
Labor History,2
Labor Studies Journal,2
Labour and Industry: a journal of social and economic relations of work,2
Labour Economics,3
Labour: Review of Labour Economics and Industrial Relations,1
Land Economics,3
Language and Communication,1
Latin American Business Review,1
Leadership,2
Leadership and Organizational development,1
Leadership in Health Services,1
Leadership Quarterly,4
Leisure Sciences,2
Leisure Studies,2
Letters in Spatial and Resource Sciences,1
Local Economy,2
Local Government Studies,2
Logistique et Management,3
Long Range Planning,3
M@n@Gement,3
Macroeconomic Dynamics,2
Man and the Economy,1
Management,1
Management Accounting Frontiers,1
Management Accounting Quarterly,1
Management Accounting Research,4
Management and Labour Studies,1
Management and Organization Review,3
Management and Organizational History,2
Management Communication Quarterly,2
Management Decision,2
Management et Avenir,2
Management et Sciences Sociales,1
Management International,3
Management International Review,3
Management Learning,3
Management of Environmental Quality,1
Management Research Review,1
"Management Research, The Journal of the Iberoamerican Academy of Management",1
Management Review Quarterly,1
Management Revue: Socio-economic Studies,2
Management Science,5
Managerial and Decision Economics,2
Managerial Auditing Journal,2
Managerial Finance,1
Managing Leisure: An International Journal,1
Manchester School,2
Manufacturing and Service Operations Management,4
Marine Policy,2
Marine Resource Economics,1
Maritime Economics and Logistics,1
Maritime Policy and Management,2
Marketing Education Review,1
Marketing Intelligence and Planning,1
Marketing Letters,3
Marketing Science,5
Marketing Theory,3
Mass Communication and Society,2
Mathematical Economics Letters,1
Mathematical Finance,3
Mathematical Methods of Operations Research,1
Mathematical Programming,4
Mathematical Social Sciences,2
Mathematics of Operations Research,3
Measuring Business Excellence,1
Media Culture and Society,2
Media Psychology,3
Medical Care,3
Medical Care Research and Review,1
Medical decision Making,2
Meditari Accountancy Research,1
MEI (MAdiation and Information),2
Memory Studies,1
Metamorphosis- A Journal of Management Research,1
Metroeconomica,1
Milbank Quarterly,3
Military Psychology,1
Mineral Economics,1
Mis Quarterly,5
MIS Quarterly Executive (MISQ-E),2
MIT Sloan Management Review,3
Mobile Media and Communication ,1
Mots : Les Langages du Politique,3
Multinational Business Review,2
Multinational Finance Journal,1
Museum and Society ,2
Museum International,1
Museum Management and Curatorship,2
NAgociations,1
Narrative Inquiry,2
National Institute Economic Review,1
National Tax Journal,2
Natural Resources Journal,1
Naval Research Logistics,3
Necsus. European Journal of Media Studies ,2
Negotiation Journal,2
Netnomics,1
Network Science,1
Networks and Spatial Economics,2
New Media and Society,5
New Political Economy,3
"New Technology, Work and Employment",3
New Zealand Economic Papers,1
Nonprofit and Voluntary Sector Quarterly,3
Non-Profit Management and Leadership,1
Nordic Psychology,1
North American Actuarial Journal,2
North American Journal of Economics and Finance,2
Nouveaux Actes SAmiotiques,2
Nutrition and Food Science,1
Occupational and Environmental Medicine,3
Occupational Medicine,1
Omega: The International Journal of Management Science,3
Online Information Review,2
Online Journal of Applied Knowledge Management,1
Open Economies Review,2
Operational Research: An International Journal,1
Operations Management Education Review,1
Operations Management Research: Advancing Practice through Theory,1
Operations Research,5
Operations Research Letters,2
Opsearch: Journal of the OR Society of India,1
Optimization: A Journal of Mathematical Programming and Operations Research,1
OR Spectrum,3
Organization,3
Organization and Environment,3
Organization Management Journal,1
Organization Science,5
Organization Studies,4
Organization Theory,1
Organizational Behavior and Human Decision Processes,4
Organizational Dynamics,3
Organizational Psychology Review,2
Organizational Research Methods,4
Organizations and Markets in Emerging Economies,1
Oxford Bulletin of Economics and Statistics,3
Oxford Development Studies,2
Oxford Economic Papers,3
Oxford Review of Economic Policy,2
Pacific Accounting Review,1
Pacific Asia Journal of the Association for Information Systems,2
Pacific Basin Finance Journal,2
Pacific Economic Review,2
Pacific Journal of Optimization,1
Papers in Regional Science,3
Parallax,1
Parliamentary Affairs,2
Participations. Revue de sciences sociales sur la de?mocratie et la citoyennete? ,1
PASOS Journal of Tourism and Cultural Heritage,1
"Peace Economics, Peace Science and Public Policy",1
Personal Relationships,1
Personality and Individual Differences,3
Personality and Social Psychology Bulletin,4
Personnel Psychology,5
Personnel Review,2
Perspectives on Public Management and Governance,2
Pesquisa Operacional,1
PharmacoEconomics,2
Philosophy of Management,1
Policing: An International Journal of Police Strategies and Management,2
Policy and Politics,3
Policy and Practice in Health and Safety,1
Policy Sciences,1
Policy Studies,2
Political Communication,4
Political Quarterly,2
Political Studies,2
Politics and Society,3
Politiques et Management Public,2
Population Studies,1
Portuguese Economic Journal,1
Post-Communist Economies,1
Problems and Perspectives in Management,1
Proceedings of Institute of Mechanical Engineers Part B: Journal of Engineering Manufacture,1
Production and Inventory Management Journal,1
Production and Operations Management,4
Production Planning and Control,3
Progress in Human Geography,3
Project Management Journal,1
Prometheus,2
Property Management,1
Psicothema,1
Psihologija,1
PSU Research Review: An International Interdisciplinary Journal,1
Psychological Bulletin,4
Psychological Reports,1
Psychological Research,3
Psychological Review,4
Psychological Science,5
Psychologie du Travail et des Organisations,1
Psychologist,1
Psychologist-Manager Journal,1
Psychology and Marketing,3
Psychology of Women Quarterly,3
Psychometrika,3
Public Administration and Development,2
Public Administration Quarterly,1
Public Administration Review,5
Public Administration: An International Quarterly,4
Public Choice,3
Public Culture,2
Public Health,1
Public Integrity,2
Public Management Review,4
Public Money and Management,2
Public Opinion Quarterly,3
Public Organization Review,2
Public Performance and Management Review,2
Public Personnel Management,2
Public Policy and Administration,2
Public Relations Inquiry,1
Public Relations Review,2
Public Understanding of Science,2
"Quaderni. Communication, technologies, pouvoir ",1
Qualitative Market Research: An International Journal,2
Qualitative Research,1
Qualitative Research in Accounting and Management,2
Qualitative Research in Financial Markets,1
Qualitative Research in Organizations and Management,1
Quality and Reliability Engineering International,1
Quality Assurance in Education,1
Quality of Life Research,2
Quality Progress,1
Quantitative and Qualitative Analysis in Social Sciences,1
Quantitative Economics,4
Quantitative Finance,3
Quantitative Marketing and Economics,3
Quarterly Journal of Austrian Economics,1
Quarterly Journal of Economics,5
Quarterly Journal of Experimental Psychology,3
Quarterly Journal of Finance,1
Quarterly Journal of International Agriculture,1
Quarterly Journal of Political Science,3
Quarterly Journal of Speech,2
Question(s) de Management,1
Questions de Communication,3
Queueing Systems,2
R and D Management,3
RAE Revista de Administracao de Empresas,1
RAIRO - Operations Research / Recherche OpArationnelle,1
RAND Journal of Economics,4
RAseaux,1
Rationality and Society,2
RAUSP Management Journal,1
Real Estate Economics,3
Recherche et Application en Marketing,1
Recherche et Application en Marketing ,3
Recherche et Cas en Sciences de Gestion ,1
Recherches en Communication,2
Recherches en Sciences de Gestion - Management Sciences - Ciencias de Gestion ,2
Regional and Federal Studies,1
Regional Science and Urban Economics,3
Regional Studies,4
Regulation and Governance,3
Rehabilitation Counseling Bulletin,1
Rehabilitation Psychology,2
Relations Industrielles / Industrial Relations,3
Reliability Engineering and System Safety,3
Representations,1
Requirements Engineering,2
Research Evaluation,2
Research in Accounting Regulation,2
Research in Economics,1
Research in Governmental and Non-Profit Accounting,1
Research in International Business and Finance,2
Research in occupational stress and well-being,1
Research in Organizational Behavior,3
Research in Personnel and Human Resources Management,1
Research in the Sociology of Organizations,3
Research in Transportation Economics,1
Research on Language and Social Interaction,3
Research on Professional Responsibility and Ethics in Accounting,1
Research Policy,5
Research Technology Management: international journal of research management,2
Resource and Energy Economics,2
Resources Policy,2
Review of Accounting and Finance,2
Review of Accounting Studies,4
Review of African Political Economy,2
Review of Asset Pricing Studies,3
Review of Behavioral Economics,2
Review of Behavioral Finance,1
Review of Corporate Finance Studies,3
Review of Derivatives Research,2
Review of Development Economics,2
Review of Development Finance,2
Review of Economic Analysis,1
Review of Economic Design,2
Review of Economic Dynamics,3
Review of Economic Studies,5
Review of Economics and Statistics,4
Review of Economics of the Household,2
Review of Environmental Economics and Policy,2
Review of European Studies,1
Review of Finance,4
Review of Financial Economics,1
Review of Financial Studies,5
Review of Income and Wealth,3
Review of Industrial Organization,2
Review of International Business and Strategy,1
Review of International Economics,2
Review of International Political Economy,3
Review of Law and Economics,2
Review of Managerial Science,2
Review of Marketing Science,1
Review of Network Economics,2
Review of Political Economy,2
Review of Public Personnel Administration,2
Review of Quantitative Finance and Accounting,3
Review of Radical Political Economics,1
Review of Social Economy,2
Review of World Economics,2
Revista de Contabilidad-Spanish Accounting Review,1
Revista de Historia Economica - Journal of Iberian and Latin American Economic History,1
Revista Espanola de Financiacion y Contabilidad,1
Revue de Gestion des Ressources Humaines,3
Revue de L'Entrepreneuriat ,3
Revue de L'Organisation Responsable,2
Revue d'Economie Financiere,1
Revue des Revues,1
Revue Europeenne de Psychologie Appliquee,1
Revue FranAfAaise de Gestion ,3
Revue FranAfAaise de Gouvernance d'Entreprise ,1
Revue franc?aise des sciences de lainformation et de la communication ,2
"Revue Interdisciplinaire Management, Homme et Entreprise (RIMHE) ",2
Revue Internationale de Psychosociologie et de Gestion des Comportements Organisationnels (RIPCO),2
Revue Internationale PME,3
Rhetoric Society Quarterly,1
"RIHM -  Revue des Interactions Humaines MAdiatisAes, Journal of Human Mediated Interactions",2
Risk Analysis: An International Journal,4
SA Journal of Human Resource Management,1
Safety and Reliability,1
Scandinavian Actuarial Journal,1
Scandinavian Economic History Review,1
Scandinavian Journal of Economics,3
Scandinavian Journal of Hospitality and Tourism,2
Scandinavian Journal of Information Systems,2
Scandinavian Journal of Management,2
Scandinavian Journal of Psychology,2
Scandinavian Journal of Statistics,3
Scandinavian Journal of Work Environment and Health,3
Schmalenbach Business Review,2
Science and Public Policy,2
Science and Society,2
Science and Technology Studies,2
Science Communication,2
"Science, Technology and Human Values",2
"Science, Technology and Society",2
Sciences de la SociAtA,2
Scientometrics,2
Scottish Journal of Political Economy,2
SEMEN (Revue SAmio-Linguistique des Textes et Discours),2
SERIEs. Journal of the Spanish Economic Association,1
Service Business,1
Service Industries Journal,2
Service Science,1
Services Marketing Quarterly,1
Sex Roles,2
SIAM Journal on Financial Mathematics,2
SIAM Journal on Optimization,3
Signs,2
Simulation Modeling Practice and Theory,2
Singapore Management Review,1
Small Business Economics,3
Small Enterprise Research,1
Small Group Research,2
Social and Environmental Accountability Journal,1
Social Business,1
Social Choice and Welfare,3
Social Enterprise Journal,1
Social Forces,3
Social Justice Research,1
Social Marketing Quarterly,1
Social Networks,2
Social Policy and Administration,2
Social Psychological and Personality Science,3
Social Responsibility Journal,1
Social Science and Medicine,4
Social Science Computer Review,3
Social Studies of Science,2
Social Work in Public Health,1
SociAtA et ReprAsentation,2
Society and Business Review,2
Socio-Economic Planning Sciences: The International Journal of Public Sector Decision-Making,2
Socio-Economic Review,3
Sociological Methodology,3
Sociological Methods and Research,1
Sociological Review,3
Sociologie du Travail,2
Sociology,4
Sociology of Health and Illness,4
South African Journal of Accounting Research,1
South African Journal of Business Management,1
South African Journal of Economics,1
South African Journal of Industrial Psychology,1
South African Journal of Information Management,1
South African Journal of Labour Relations,1
South African Journal of Psychology,1
South Asia Economic Journal,1
South Asian Journal of Business and Management Cases,1
South Asian Journal of Business Studies,1
South Asian Journal of Human Resource Management,1
Southern Economic Journal,2
Space and Culture,1
Spanish Journal of Psychology,1
Spatial Economic Analysis,2
Sport Management Review,2
Sport Marketing Quarterly,1
"Sport, Business and Management: An International Journal",1
"Sport, Exercise and Performance Psychology",1
STATA Journal,2
Statistical Analysis and Data Mining: The ASA Data Science Journal,1
Statistics and Probability Letters,2
Strategic Behavior and the Environment,1
Strategic Change,2
Strategic Entrepreneurship Journal,4
Strategic Management Journal,5
Strategic Organization,3
Strategy and Leadership,1
Stress and Health,2
Structural Change and Economic Dynamics,2
Studies in Agricultural Economics,1
Studies In Communications Sciences,2
Studies in Economics and Finance,1
Studies in Higher Education,3
Studies in Indian Politics,1
Studies in Nonlinear Dynamics and Econometrics,2
Supply Chain Forum: An International Journal,2
Supply Chain Management,3
Supply Chain Management: An International Journal,3
"Sustainability Accounting, Management and Policy Journal",2
Swiss Journal of Economics and Statistics,1
Swiss Journal of Psychology,1
Symbolic Interaction,2
Symphonya. Emerging Issues in Management,1
System Dynamics Review,2
Systemes Alimentaires / Food Systems,1
Systemes d'Information et Management,3
Systemic Practice and Action Research,2
Systems Research and Behavioral Science,2
Tamara: Journal of Critical Postmodern Organization Science,1
Te?le?vision ,1
Teaching in Higher Education,2
Teaching Public Administration,1
Team Performance Management,1
Technological Forecasting and Social Change,3
Technology Analysis and Strategic Management,2
Technology Innovation Management Review,1
Technovation,3
Telecommunications Policy,1
Television and New Media,2
Temps des MAdias (Le),2
"Terminal. Technologie de lainformation, culture et socie?te?  ",1
Terrain,1
Tertiary Education and Management,1
"Testing, Psychometrics, Methodology in Applied Psychology",1
Text and Talk,2
The Accounting Review,5
The B.E. Journal of Economic Analysis and Policy,2
The B.E. Journal of Macroeconomics,2
The B.E. Journal of Theoretical Economics,2
The Communication Review,2
The Data Base for Advances in Information Systems,2
The Economic and Labour Relations Review,1
The Economists' Voice,1
The European Journal of Finance,3
The Geneva Risk and Insurance Review,2
The Indian Journal of Labour Economics,1
The International Journal of Accounting,3
The International Journal of Aerospace Psychology,1
The International Journal of Emerging Markets,1
The International Journal of Logistics Management,2
The International Trade Journal,1
The Journal of Applied Behavioral Science,2
The Journal of Corporate Citizenship,1
The Journal of Entrepreneurship,1
The Journal of Entrepreneurship and Public Policy,1
The Learning Organization,1
The Milbank Quarterly,3
The Quarterly Review of Economics and Finance,2
The Review of Austrian Economics,1
The TQM Journal,1
The?ore?me ,1
Theoretical Economics,4
Theoretical Economics Letters,1
Theory and Decision,2
Theory Culture and Society,3
Third World Quarterly,2
Thunderbird International Business Review,2
"Tic et SociAtA : Technologies de l'Information, de la Communication et SociAtA",1
Tijdschrift voor economische en sociale geografie,1
Time and Society,2
TOP: An Official Journal of the Spanish Society of Statistics and Operations Research,1
Total Quality Management and Business Excellence,2
Tourism Analysis,2
Tourism Culture Communications,1
Tourism Economics,2
Tourism Geographies,2
Tourism Management,4
Tourism Management Perspectives,2
Tourism Planning and Development,2
Tourism Recreation Research,2
Tourism Review,1
"Tourism: An International, Interdisciplinary Journal",1
Tourist Studies,2
Town Planning Review,2
Transactions of the Institute of British Geographers,1
Transfer: European Review of Labour and Research,2
"Transforming Government: People, Process and Policy",2
Transnational Corporations,2
Transnational Corporations Review,1
Transport Policy,2
Transport Reviews,2
Transportation,2
Transportation Research Part A: Policy and Practice,3
Transportation Research Part B: Methodological,4
Transportation Research Part D: Transport and Environment,3
Transportation Research Part E: Logistics and Transportation Review,3
Transportation Science,3
Urban Island Studies,1
Urban Studies,3
Utilities Policy,1
Valuation Studies,1
Venture Capital: An International Journal of Entrepreneurial Finance,2
VezetlstudomAny | Budapest Management Review,1
Vie et Sciences de L'Entreprise ,1
Vikalpa,1
Vision,1
Visitor Studies,1
Visual Communication,1
Voluntas: International Journal of Voluntary and Non-Profit Organization,2
West European Politics,3
Work - A Journal of Prevention Assessment and Rehabilitation,1
Work and Occupations,3
Work and Stress,4
Work Organisation Labour Globalisation (WOLG),1
"Work, Aging and Retirement",2
"Work, Employment and Society",4
World Bank Economic Review,3
World Bank Research Observer,2
World development,3
World Economy,2
World Leisure Journal,1
"World Review of Entrepreneurship, Management and Sustainable Development",1
World Review of Intermodal Transportation Research,1
World Tax Journal,1
Worldwide Hospitality and Tourism Themes,1
Written Communication,2
Young Consumers,1
Zeitschrift fAr Personalforschung,2
Zeitschrift fAr Unternehmensgeschichte,1
Zeitschrift Fur Arbeits - Und Organisationspscyhologie,1
Zeitschrift fur Psychologie - Journal of Psychology,2
